iter	RMSE
0	1.207447123
1	1.194223595
2	1.182397054
3	1.171836128
4	1.163330952
5	1.154451673
6	1.144781767
7	1.135836946
8	1.129289713
9	1.12171475
10	1.114824465
11	1.107923988
12	1.102232565
13	1.094848694
14	1.088770682
15	1.082284464
16	1.076007551
17	1.071145614
18	1.065970001
19	1.060413951
20	1.057029183
21	1.052199078
22	1.047960536
23	1.044194956
24	1.038974684
25	1.034594515
26	1.031385723
27	1.02738833
28	1.023275025
29	1.019313629
30	1.015897905
31	1.012477729
32	1.008959899
33	1.004361163
34	0.9999449297
35	0.9960715448
36	0.9926447353
37	0.989055225
38	0.9864176038
39	0.9828648675
40	0.9801405745
41	0.976365489
42	0.9727221158
43	0.9700023968
44	0.9668199346
45	0.9638155762
46	0.9609357485
47	0.9584894415
48	0.9553699254
49	0.9528678817
50	0.9500297422
51	0.9480601385
52	0.9452027632
53	0.9421505461
54	0.9395376881
55	0.9375206709
56	0.9333259297
57	0.9308577665
58	0.929353469
59	0.9270157828
60	0.9244409982
61	0.9219425207
62	0.9198893952
63	0.9181930376
64	0.9156363331
65	0.9130645706
66	0.9105491531
67	0.90883769
68	0.9065547601
69	0.9046647291
70	0.902398771
71	0.8999182949
72	0.8977854895
73	0.8952016784
74	0.8933656591
75	0.8909325096
76	0.8878557592
77	0.8847562469
78	0.8816191941
79	0.8802870041
80	0.8782102601
81	0.8749441808
82	0.8727295671
83	0.8710642036
84	0.8691582209
85	0.8672097157
86	0.8650021563
87	0.8625286533
88	0.8607626336
89	0.8580652215
90	0.8550349626
91	0.852390591
92	0.8498412221
93	0.8482403967
94	0.8466905245
95	0.8450623215
96	0.8425890329
97	0.8409530929
98	0.837799843
99	0.8353478191
100	0.8328751165
101	0.8312341257
102	0.8297836644
103	0.827300155
104	0.8257949077
105	0.8229784006
106	0.8210957201
107	0.8189152483
108	0.8168678087
109	0.8153738805
110	0.8139547283
111	0.8108075904
112	0.8080730642
113	0.8063170819
114	0.8040341626
115	0.8028556946
116	0.8011247617
117	0.7987404108
118	0.7971365472
119	0.7961821151
120	0.7947902642
121	0.7921681731
122	0.7902066948
123	0.7880627002
124	0.7858730406
125	0.7838955121
126	0.7822469172
127	0.7805081662
128	0.7785227345
129	0.7756757024
130	0.7738652965
131	0.7722420075
132	0.7706741037
133	0.7692500862
134	0.767948644
135	0.7656461959
136	0.7637577119
137	0.7621096845
138	0.7599470226
139	0.7582295342
140	0.7561613368
141	0.7544088995
142	0.7524900614
143	0.7502049979
144	0.7485512887
145	0.7467003908
146	0.7448434659
147	0.7433685447
148	0.7413500524
149	0.7403497333
150	0.739248086
151	0.7370243442
152	0.7352831844
153	0.7332962537
154	0.7312463457
155	0.7295914122
156	0.7281570884
157	0.7266975042
158	0.7243737002
159	0.7224425098
160	0.7206478675
161	0.7187833442
162	0.7165219402
163	0.7143177551
164	0.712170568
165	0.710424497
166	0.7082123658
167	0.7069220845
168	0.7051501111
169	0.7034599658
170	0.701498046
171	0.69985159
172	0.6982296745
173	0.6969542266
174	0.6941106443
175	0.6928286734
176	0.6910825198
177	0.6894791191
178	0.6872292133
179	0.6851276469
180	0.683737399
181	0.6816203191
182	0.6787323128
183	0.6768916842
184	0.6753805166
185	0.6736920815
186	0.6717395957
187	0.6698776988
188	0.6682619063
189	0.6663696649
190	0.6644861319
191	0.663362842
192	0.6618461447
193	0.6603191226
194	0.6583756358
195	0.6569111437
196	0.6557955896
197	0.6541414295
198	0.6522968728
199	0.6506151515
